,s,i,j,target,ijd,thisclose,lastclose,cd,en_pos,i_shift,j_shift,insert_or_delete
2499,.....((((((.......(((((..................(..(.((...((.((......))))...))).).........)))))..))))))....,-18,-89,0,0.4375,0.3333333333333333,0.13333333333333333,1,0.6453089244851259,0,1,0
2500,.....((((((......((((((..................(..(.(....((.((......))))....)).).........)))))).))))))....,-48,-70,0,0.25,0.26666666666666666,0.13333333333333333,1,0.702517162471396,0,0,0
2501,.....((((((......((((((..................(..(.((...(..((......)).)...))).).........)))))).))))))....,-53,-65,0,0.375,0.26666666666666666,0.13333333333333333,1,0.736842105263158,0,1,0
2502,.....((((((......(((((...................(..(.((...((.((......))))...))).)..........))))).))))))....,-23,-84,0,0.125,0.3333333333333333,0.13333333333333333,1,0.77116704805492,1,0,0
2503,.....((((((......(.((((..................(..(.((...((.((......))))...))).).........)))).).))))))....,-19,-88,0,0.375,0.4,0.13333333333333333,0,0.8169336384439359,1,1,0
2504,.....((((((......((.(((..................(..(.((...((.((......))))...))).).........))).)).))))))....,-20,-87,0,0.3125,0.4,0.13333333333333333,0,0.8283752860411899,1,1,0
2505,.....((((((......((((((..................(..(.((...((..(......).))...))).).........)))))).))))))....,-55,-64,0,0.4375,0.26666666666666666,0.13333333333333333,1,0.8283752860411899,0,0,0
2506,.....((((((......((((.(..................(..(.((...((.((......))))...))).).........).)))).))))))....,-22,-85,0,0.1875,0.4,0.13333333333333333,0,0.8627002288329519,1,0,0
2507,.....((((((......((((((..................(..(..(...((.((......))))...).).).........)))))).))))))....,-47,-71,0,0.1875,0.2,0.13333333333333333,1,0.8855835240274599,0,0,0
2508,.....((((((......(((.((..................(..(.((...((.((......))))...))).).........)).))).))))))....,-21,-86,0,0.25,0.4,0.13333333333333333,0,1.0,1,0,0
2509,.....((((((......((((((.......................((...((.((......))))...))............)))))).))))))....,-45,-72,1,0.05263157894736842,0.16666666666666666,0.05555555555555555,0,0.0,0,0,0
2510,.....((((((......((((((.....................(.((....(.((......)))....)))...........)))))).))))))....,-52,-66,1,0.21052631578947367,0.2777777777777778,0.05555555555555555,1,0.054545454545454564,0,1,0
2511,.....((((((......((((((.....................(.((...((.(........)))...)))...........)))))).))))))....,-56,-63,0,0.3684210526315789,0.2222222222222222,0.05555555555555555,1,0.14545454545454545,0,0,0
2512,.....((((((......((((((.........(........)..(.((...((.((......))))...)))...........)))))).))))))....,33,42,1,0.10526315789473684,0.16666666666666666,0.05555555555555555,0,0.15272727272727277,0,0,1
2513,.....((((((......((((((.....................(.((...((.((......))))...)))(.....)....)))))).))))))....,73,79,1,0.42105263157894735,0.1111111111111111,0.05555555555555555,0,0.26181818181818184,0,1,1
2514,.....((((((.......(((((.....................(.((...((.((......))))...)))...........)))))..))))))....,-18,-89,0,0.47368421052631576,0.2777777777777778,0.05555555555555555,1,0.43636363636363634,0,1,0
2515,.....((((((......((((((.....................(.((...((.((......))))...))).(...).....)))))).))))))....,74,78,0,0.47368421052631576,0.1111111111111111,0.05555555555555555,0,0.48000000000000004,0,1,1
2516,.....((((((......((((((.....................(.(....((.((......))))....))...........)))))).))))))....,-48,-70,0,0.15789473684210525,0.2222222222222222,0.05555555555555555,1,0.5272727272727273,0,0,0
2517,.....((((((......((((((.....................(.((...(..((......)).)...)))...........)))))).))))))....,-53,-65,0,0.2631578947368421,0.2222222222222222,0.05555555555555555,1,0.5818181818181818,0,1,0
2518,.....((((((......((((((..........(......)...(.((...((.((......))))...)))...........)))))).))))))....,34,41,0,0.05263157894736842,0.16666666666666666,0.05555555555555555,0,0.5890909090909091,1,0,1
2519,.....((((((......(((((......................(.((...((.((......))))...)))............))))).))))))....,-23,-84,0,0.21052631578947367,0.2777777777777778,0.05555555555555555,1,0.6309090909090909,1,0,0
2520,.....((((((......(.((((.....................(.((...((.((......))))...)))...........)))).).))))))....,-19,-88,0,0.42105263157894735,0.3333333333333333,0.05555555555555555,0,0.709090909090909,1,1,0
2521,.....((((((......((.(((.....................(.((...((.((......))))...)))...........))).)).))))))....,-20,-87,0,0.3684210526315789,0.3333333333333333,0.05555555555555555,0,0.7272727272727273,1,1,0
2522,.....((((((......((((((.....................(.((...((..(......).))...)))...........)))))).))))))....,-55,-64,0,0.3157894736842105,0.2222222222222222,0.05555555555555555,1,0.7272727272727273,0,0,0
2523,.....((((((......((((.(.....................(.((...((.((......))))...)))...........).)))).))))))....,-22,-85,0,0.2631578947368421,0.3333333333333333,0.05555555555555555,0,0.7818181818181817,1,0,0
2524,.....((((((......((((((........(..........).(.((...((.((......))))...)))...........)))))).))))))....,32,43,0,0.15789473684210525,0.16666666666666666,0.05555555555555555,0,0.7890909090909091,0,0,1
2525,.....((((((......((((((.....................(..(...((.((......))))...).)...........)))))).))))))....,-47,-71,0,0.10526315789473684,0.16666666666666666,0.05555555555555555,1,0.8181818181818181,0,0,0
2526,.....((((((......(((.((.....................(.((...((.((......))))...)))...........)).))).))))))....,-21,-86,0,0.3157894736842105,0.3333333333333333,0.05555555555555555,0,1.0,1,0,0
2527,.....((((((......((((((.........(........)....((...((.((......))))...))............)))))).))))))....,33,42,1,0.09523809523809523,0.25,0.1,0,0.0,0,0,1
2528,.....((((((......((((((.......................((....(.((......)))....))............)))))).))))))....,-52,-66,1,0.14285714285714285,0.25,0.1,1,0.047619047619047616,0,1,0
2529,.....((((((......((((((.......................((...((.((......))))...)).(.....)....)))))).))))))....,73,79,1,0.38095238095238093,0.15,0.1,0,0.10989010989010989,0,1,1
2530,.....((((((......((((((.......................((...((.(........)))...))............)))))).))))))....,-56,-63,0,0.2857142857142857,0.2,0.1,1,0.13919413919413923,0,0,0
2531,.....((((((......((((((.......................((...((.((......))))...))(.......)...)))))).))))))....,72,80,1,0.3333333333333333,0.15,0.1,0,0.16483516483516483,0,1,1
